Focus,ContentCode,Exemplar,Frequency,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Disconnected_Line_Segments,"In a piecewise graph, line segments are disconnected. In other words the line segments are ""in pieces.""",11,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Representation.Circles,"To avoid confusion, points that define two different disconnected segments in a piecewise graph are identified by open and closed circles.",6,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_A_B.Point_B.OpenClosed,"For segment AB, a vertical line, point B is [open,*closed]. This indicates that segment AB [*includes, does not include] point B.",2,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,PointsAsCircles,"In a piecewise graph, points may be represented by open and closed circles.",1,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Disconnected_Line_Segments.Horizontal_or_Vertical,"In a piecewise graph, line segments can be either horizontal or vertical.",5,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Representation.Circles.Open,"In a piecewise graph, a point represented by an open circle means that the line segment it defines [*includes, does not include] the point itself.",1,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Representation.Point_C,"At timepoint C, the car is traveling at [*0 miles per hour, *50 miles per hour, both 0 and 50 miles per hour.]",1,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_A_B.OpenClosed,"For segment AB, point A is closed and point B is open.",1,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_B_C.OpenClosed,"For segment BC, point B is closed and point C is open.",1,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_B_C.Point_B.OpenClosed,"For segment BC, point C is [open,*closed].",1,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Representation.Circles.Closed,"In a piecewise graph, a point represented by closed circle means that the line segment it defines [includes, *does not include] the point itself.",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_A_B.Point_A.OpenClosed,"For segment AB, point A is [closed,*open].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_B_C.Point_C.OpenClosed,"For segment BC, point C is [closed,*open].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_C_D.OpenClosed,"For segment CD, point C is closed and point D is open.",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_C_D.Point_C.OpenClosed,"For segment CD, point C is [closed,*open].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_C_D.Point_D.OpenClosed,"For segment CD, point D is [open,*closed].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_D_E.Point_D.OpenClosed,"For segment DE, point D is closed and point E is open.",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_D_E.Point_D.OpenClosed,"For segment DE, point D is closed and point E is open.",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_D_E.Point_E.OpenClosed,"For segment DE, point E is [open,*closed].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_E_F.OpenClosed,"For segment EF, point E is closed and point F is also closed.",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_E_F.Point_E.OpenClosed,"For segment EF, point E is [closed,*open].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Segment_E_F.Point_E.OpenClosed,"For segment EF, point E is [closed,*open].",0,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,PiecewiseGraph.Point_B,"For segment AB, point B is [open,*closed], and for segment BC, point B is [*open,closed].",,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,PiecewiseGraph.Point_C,"For segment BC, point C is [open,*closed], and for segment CD, point C is [*open,closed].",,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Unspecified,[Content code not specified],4,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Piecewise_Graph,Some people are familiar with piecewise graphs.,6,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Piecewise_Graph.Positive,Familiar with piecewise graphs.,4,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Piecewise_Graph.Negative,Not familiar with piecewise graphs.,6,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Non linear graphs,A non-linear graph is a graph that is not a straight line.,1,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Discontinuous_Piecewise_Graph,A graph is discontinuous if there is a break (vertical or horizontal jump) in the line segments.,0,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Linear graph,A linear graph is a graph that is a straight line.,0,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Piecewise_Graph?,Some people are familiar with piecewise graphs.,,,,,,,,,,,,,,,,,,,,,,,,
PriorKnowledge,Continue,Keep going.,20,,,,,,,,,,,,,,,,,,,,,,,
Process,Change_Something?,"[Change something, keep it the way it is.]",2,,,,,,,,,,,,,,,,,,,,,,,
Process,Change_Something,Change something.,24,,,,,,,,,,,,,,,,,,,,,,,
Process,Leave_unchanged,Leave something the way it is ,1,,,,,,,,,,,,,,,,,,,,,,,
Process,Make_a_Draft,Make a draft and change it later if necessary.,,,,,,,,,,,,,,,,,,,,,,,,
Process,Type,Type something on the white board.,30,,,,,,,,,,,,,,,,,,,,,,,
Process,Wait,Wait.,14,,,,,,,,,,,,,,,,,,,,,,,
Process,Show_Me.Graph,Show me on the graph.,7,,,,,,,,,,,,,,,,,,,,,,,
Process,Repeat.Process,Repeat the process.,8,,,,,,,,,,,,,,,,,,,,,,,
Process,Repeat.Utterance,Repeat something someone said.,7, ,,,,,,,,,,,,,,,,,,,,,,
Process,Tell_Me,Tell something.,15,,,,,,,,,,,,,,,,,,,,,,,
Process,Amber's_Power_Words,"For each segment, determine if time , distance, or speed/rate increases, decreases, or stays the same.",15,,,,,,,,,,,,,,,,,,,,,,,
Process,Go_back,Go back.,5,,,,,,,,,,,,,,,,,,,,,,,
Process,Finished,Finished,3,,,,,,,,,,,,,,,,,,,,,,,
Process,Line_Check,Can you hear me?,1,,,,,,,,,,,,,,,,,,,,,,,
Process,Line_Check.Negative,I can't hear you.,1,,,,,,,,,,,,,,,,,,,,,,,
Process,Line_Check.Positive,I can hear you.,1,,,,,,,,,,,,,,,,,,,,,,,
Process,Stop,Stop.,1,,,,,,,,,,,,,,,,,,,,,,,
Process,Check_Work,Check work.,,,,,,,,,,,,,,,,,,,,,,,,
Process,Sight_Check,Can you see?,2,,,,,,,,,,,,,,,,,,,,,,,
Process,Assistance,Help,2,,,,,,,,,,,,,,,,,,,,,,,
Process,Show_Me.Map,Show me on the map.,0,,,,,,,,,,,,,,,,,,,,,,,
Process,Ready_to_Start,Ready to start.,2,,,,,,,,,,,,,,,,,,,,,,,
Process,Unspecified,[Content code not specified],10,,,,,,,,,,,,,,,,,,,,,,,
RouteTracing,MPH_Graph.Unspecified_Point,An unspecified point or line segment on the miles per hour graph.,68,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,Map.Unspecified_Point,An unspecified point on the map.,24,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,DT_Graph,The  graph showing distance traveled at different time points.,5,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,DT_Graph.Unspecified_Point,An unspecified point or line segment on the distance-time graph.,9,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,Map,The map.,5,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,MPH_Graph,The graph showing MPH over time.,4,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,Relationships_Graph,"Relationships between values in a graph can be [linear, linear piecewise, or non linear].",2,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,Unspecified,[Content code not specified],13,,,,,,,,,,,,,,,,,,,,,,,
ScreenObject ,Segment_B_C.Slope.Qualitative,"Segment BC [*slopes upward, *slopes downward, is horizontal] meaning [no change in distance, *no change in time.]",11,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,StraightLines.AverageSpeed ,"The straight lines represent [average speed between time points, *constant motion.]",2,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,HorizontalLine.Explanation,A straight horizontal line indicates that average speed is 0 because there is no change in distance.,3,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,HorizontalLine.Increase,"A horizontal line indicates [no increase, *an increase] in value on the [y, *x] axis.",7,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,Segment_A_B.Slope.Qualitative,"Segment AB [slopes upward, *slopes downward, *is horizontal]. ",3,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,SlopeIndicatesSpeed,"The slope (steepness) of a line is an indication of [average speed, *elapsed time, *distance traveled].",3,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,DE.NotAStraightLine ,"The line segment between time points D and E is [not a straight line, *a straight line]. ",1,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,Segment_B_C.Slope.Quantitative,The slope of segment BC =0.,1,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,UpwardSlope,"An upward slope indicates [an increase, *no increase, *a decrease] in value on the  [y, *x] axis.",1,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,VerticalLine.Explanation,"A straight vertical line is impossible because it would indicate no change in elapsed time, and time never stops.",0,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,VerticalLine.Impossible,"A straight vertical line is [impossible, *possible].",0,,,,,,,,,,,,,,,,,,,,,,,
SlopeDiscussion,Unspecified,[Content code not specified],1,,,,,,,,,,,,,,,,,,,,,,,
UserInterface,Typing_Hard,Typing on a computer can be hard.,2,,,,,,,,,,,,,,,,,,,,,,,
UserInterface,Unspecified,[Content code not specified],10,,,,,,,,,,,,,,,,,,,,,,,
Unspecified,Unspecified,[Content code not specified],1,,,,,,,,,,,,,,,,,,,,,,,
